pin,count,probability
0,2077,0.02077
333333,2037,0.02037
555555,2032,0.02032
444444,2022,0.02022
888888,2004,0.02004
777777,2003,0.02003
666666,1983,0.01983
111111,1974,0.01974
999999,1970,0.0197
12345,1964,0.01964
345678,1963,0.01963
222222,1947,0.01947
765432,1878,0.01878
876543,1874,0.01874
234567,1856,0.01856
123456,1842,0.01842
456789,1840,0.0184
987654,1824,0.01824
311178,9,9e-05
80461,7,7e-05
80998,7,7e-05
30279,7,7e-05
210719,7,7e-05
121187,7,7e-05
281089,7,7e-05
80513,7,7e-05
50754,7,7e-05
190726,7,7e-05
60215,7,7e-05
241040,7,7e-05
81266,6,6e-05
311043,6,6e-05
20227,6,6e-05
160191,6,6e-05
150456,6,6e-05
200135,6,6e-05
41252,6,6e-05
130284,6,6e-05
220742,6,6e-05
90498,6,6e-05
20877,6,6e-05
160651,6,6e-05
101180,6,6e-05
81230,6,6e-05
100664,6,6e-05
61236,6,6e-05
110525,6,6e-05
70216,6,6e-05
50297,6,6e-05
60983,6,6e-05
250405,6,6e-05
30410,6,6e-05
230719,6,6e-05
300650,6,6e-05
110715,6,6e-05
140606,6,6e-05
250764,6,6e-05
110483,6,6e-05
90238,6,6e-05
200618,6,6e-05
50155,6,6e-05
51289,6,6e-05
141217,6,6e-05
140235,6,6e-05
140509,6,6e-05
260464,6,6e-05
210989,6,6e-05
280606,6,6e-05
260596,6,6e-05
41296,6,6e-05
130351,6,6e-05
11289,5,5e-05
171227,5,5e-05
260119,5,5e-05
250170,5,5e-05
10732,5,5e-05
261045,5,5e-05
110873,5,5e-05
20923,5,5e-05
140164,5,5e-05
180721,5,5e-05
280284,5,5e-05
151280,5,5e-05
250546,5,5e-05
20978,5,5e-05
41193,5,5e-05
100764,5,5e-05
120794,5,5e-05
60347,5,5e-05
110705,5,5e-05
260108,5,5e-05
210514,5,5e-05
300325,5,5e-05
230464,5,5e-05
20495,5,5e-05
291146,5,5e-05
250412,5,5e-05
170192,5,5e-05
260890,5,5e-05
160731,5,5e-05
210207,5,5e-05
300180,5,5e-05
190373,5,5e-05
171169,5,5e-05
80816,5,5e-05
311288,5,5e-05
130798,5,5e-05
90108,5,5e-05
110793,5,5e-05
160239,5,5e-05
120121,5,5e-05
40422,5,5e-05
200102,5,5e-05
201120,5,5e-05
240473,5,5e-05
300575,5,5e-05
241142,5,5e-05
220782,5,5e-05
40438,5,5e-05
300268,5,5e-05
161274,5,5e-05
101045,5,5e-05
91279,5,5e-05
161020,5,5e-05
230377,5,5e-05
190479,5,5e-05
80969,5,5e-05
100611,5,5e-05
280513,5,5e-05
250200,5,5e-05
170253,5,5e-05
260255,5,5e-05
101278,5,5e-05
270124,5,5e-05
50616,5,5e-05
190439,5,5e-05
100212,5,5e-05
10454,5,5e-05
300711,5,5e-05
120828,5,5e-05
261101,5,5e-05
260295,5,5e-05
131197,5,5e-05
250114,5,5e-05
170959,5,5e-05
141017,5,5e-05
60110,5,5e-05
40391,5,5e-05
170211,5,5e-05
41275,5,5e-05
140685,5,5e-05
300582,5,5e-05
150793,5,5e-05
191054,5,5e-05
311097,5,5e-05
181053,5,5e-05
40473,5,5e-05
120420,5,5e-05
160977,5,5e-05
90804,5,5e-05
171240,5,5e-05
230941,5,5e-05
90607,5,5e-05
200254,5,5e-05
270298,5,5e-05
220574,5,5e-05
10762,5,5e-05
100938,5,5e-05
290823,5,5e-05
210970,5,5e-05
60875,5,5e-05
170821,5,5e-05
50154,5,5e-05
230708,5,5e-05
300981,5,5e-05
61132,5,5e-05
31207,5,5e-05
150665,5,5e-05
280246,5,5e-05
71088,5,5e-05
100523,5,5e-05
170678,5,5e-05
120973,5,5e-05
271150,5,5e-05
110682,5,5e-05
90625,5,5e-05
220399,5,5e-05
20403,5,5e-05
90969,5,5e-05
40799,5,5e-05
230380,5,5e-05
81270,5,5e-05
251231,5,5e-05
230893,5,5e-05
31141,5,5e-05
280180,5,5e-05
120911,5,5e-05
200481,5,5e-05
50912,5,5e-05
290149,5,5e-05
270485,5,5e-05
261260,5,5e-05
61134,5,5e-05
210482,5,5e-05
80474,5,5e-05
160640,5,5e-05
270434,5,5e-05
70913,5,5e-05
270462,5,5e-05
310352,5,5e-05
40194,5,5e-05
280825,5,5e-05
90823,5,5e-05
160439,5,5e-05
220995,5,5e-05
150965,5,5e-05
100315,5,5e-05
160834,5,5e-05
311229,5,5e-05
140241,5,5e-05
101086,5,5e-05
211020,5,5e-05
131211,5,5e-05
260954,5,5e-05
20503,5,5e-05
181283,5,5e-05
261068,5,5e-05
300535,5,5e-05
51106,5,5e-05
310764,5,5e-05
240293,5,5e-05
290917,5,5e-05
120861,5,5e-05
50918,5,5e-05
210604,5,5e-05
10437,4,4e-05
170637,4,4e-05
230623,4,4e-05
290889,4,4e-05
140360,4,4e-05
90736,4,4e-05
190344,4,4e-05
110930,4,4e-05
251162,4,4e-05
50133,4,4e-05
291110,4,4e-05
120387,4,4e-05
50916,4,4e-05
50211,4,4e-05
190235,4,4e-05
150211,4,4e-05
311273,4,4e-05
110527,4,4e-05
131057,4,4e-05
101152,4,4e-05
90131,4,4e-05
220882,4,4e-05
121188,4,4e-05
40263,4,4e-05
310827,4,4e-05
51239,4,4e-05
300571,4,4e-05
250615,4,4e-05
311261,4,4e-05
30613,4,4e-05
180673,4,4e-05
240929,4,4e-05
301053,4,4e-05
30720,4,4e-05
130908,4,4e-05
161192,4,4e-05
171203,4,4e-05
250996,4,4e-05
81293,4,4e-05
290933,4,4e-05
300953,4,4e-05
210679,4,4e-05
100729,4,4e-05
201064,4,4e-05
80824,4,4e-05
161224,4,4e-05
270980,4,4e-05
171177,4,4e-05
220289,4,4e-05
150518,4,4e-05
130147,4,4e-05
100656,4,4e-05
310382,4,4e-05
220344,4,4e-05
280738,4,4e-05
260569,4,4e-05
90813,4,4e-05
230439,4,4e-05
231088,4,4e-05
150267,4,4e-05
220219,4,4e-05
80635,4,4e-05
271045,4,4e-05
20818,4,4e-05
120329,4,4e-05
100244,4,4e-05
60576,4,4e-05
200620,4,4e-05
251037,4,4e-05
110220,4,4e-05
220775,4,4e-05
260213,4,4e-05
160311,4,4e-05
230108,4,4e-05
250581,4,4e-05
100156,4,4e-05
60773,4,4e-05
71114,4,4e-05
40550,4,4e-05
270391,4,4e-05
150742,4,4e-05
40400,4,4e-05
200741,4,4e-05
80248,4,4e-05
10653,4,4e-05
210638,4,4e-05
241080,4,4e-05
110757,4,4e-05
60344,4,4e-05
280634,4,4e-05
270818,4,4e-05
130558,4,4e-05
140981,4,4e-05
251202,4,4e-05
280716,4,4e-05
240333,4,4e-05
270895,4,4e-05
100560,4,4e-05
170555,4,4e-05
41116,4,4e-05
41201,4,4e-05
311298,4,4e-05
71119,4,4e-05
250109,4,4e-05
300632,4,4e-05
140954,4,4e-05
140905,4,4e-05
300229,4,4e-05
200176,4,4e-05
180343,4,4e-05
160789,4,4e-05
70207,4,4e-05
230455,4,4e-05
190858,4,4e-05
50544,4,4e-05
170478,4,4e-05
90715,4,4e-05
250229,4,4e-05
110899,4,4e-05
260762,4,4e-05
101264,4,4e-05
50894,4,4e-05
11218,4,4e-05
240273,4,4e-05
140791,4,4e-05
90520,4,4e-05
60790,4,4e-05
30691,4,4e-05
150966,4,4e-05
21083,4,4e-05
80384,4,4e-05
100201,4,4e-05
110665,4,4e-05
300551,4,4e-05
171141,4,4e-05
80275,4,4e-05
160248,4,4e-05
61097,4,4e-05
10359,4,4e-05
191057,4,4e-05
181161,4,4e-05
190394,4,4e-05
260301,4,4e-05
300669,4,4e-05
160396,4,4e-05
210814,4,4e-05
30547,4,4e-05
240817,4,4e-05
310776,4,4e-05
110992,4,4e-05
251201,4,4e-05
270559,4,4e-05
200395,4,4e-05
290202,4,4e-05
30842,4,4e-05
190356,4,4e-05
100522,4,4e-05
260333,4,4e-05
261075,4,4e-05
140155,4,4e-05
221260,4,4e-05
121184,4,4e-05
51264,4,4e-05
110794,4,4e-05
50598,4,4e-05
20107,4,4e-05
181189,4,4e-05
190353,4,4e-05
100154,4,4e-05
60602,4,4e-05
20770,4,4e-05
230410,4,4e-05
311140,4,4e-05
90595,4,4e-05
91141,4,4e-05
20712,4,4e-05
40980,4,4e-05
170837,4,4e-05
20423,4,4e-05
220112,4,4e-05
90476,4,4e-05
211172,4,4e-05
240771,4,4e-05
211107,4,4e-05
10345,4,4e-05
20714,4,4e-05
41070,4,4e-05
310259,4,4e-05
120830,4,4e-05
280111,4,4e-05
20835,4,4e-05
80852,4,4e-05
210995,4,4e-05
250563,4,4e-05
250982,4,4e-05
270804,4,4e-05
70287,4,4e-05
110226,4,4e-05
210209,4,4e-05
140251,4,4e-05
90140,4,4e-05
270813,4,4e-05
10930,4,4e-05
290868,4,4e-05
40936,4,4e-05
60827,4,4e-05
121144,4,4e-05
120234,4,4e-05
121026,4,4e-05
30675,4,4e-05
171028,4,4e-05
250878,4,4e-05
250116,4,4e-05
190230,4,4e-05
180692,4,4e-05
221255,4,4e-05
290274,4,4e-05
180985,4,4e-05
180966,4,4e-05
200552,4,4e-05
160204,4,4e-05
220939,4,4e-05
180815,4,4e-05
240354,4,4e-05
290780,4,4e-05
120241,4,4e-05
140537,4,4e-05
290509,4,4e-05
190543,4,4e-05
231181,4,4e-05
301063,4,4e-05
281052,4,4e-05
20958,4,4e-05
300212,4,4e-05
210161,4,4e-05
40159,4,4e-05
90232,4,4e-05
110648,4,4e-05
170681,4,4e-05
130353,4,4e-05
270125,4,4e-05
240756,4,4e-05
280420,4,4e-05
220596,4,4e-05
120313,4,4e-05
250869,4,4e-05
290489,4,4e-05
51126,4,4e-05
180488,4,4e-05
191130,4,4e-05
40662,4,4e-05
151058,4,4e-05
20298,4,4e-05
260134,4,4e-05
80118,4,4e-05
270760,4,4e-05
120770,4,4e-05
260900,4,4e-05
111226,4,4e-05
190170,4,4e-05
120432,4,4e-05
190514,4,4e-05
170910,4,4e-05
230612,4,4e-05
130703,4,4e-05
210745,4,4e-05
240196,4,4e-05
130939,4,4e-05
51266,4,4e-05
80822,4,4e-05
90558,4,4e-05
240592,4,4e-05
130239,4,4e-05
220731,4,4e-05
100248,4,4e-05
311196,4,4e-05
300797,4,4e-05
100426,4,4e-05
240331,4,4e-05
51026,4,4e-05
140457,4,4e-05
220490,4,4e-05
160847,4,4e-05
90651,4,4e-05
11072,4,4e-05
80414,4,4e-05
280631,4,4e-05
270964,4,4e-05
230956,4,4e-05
70252,4,4e-05
20467,4,4e-05
30266,4,4e-05
70880,4,4e-05
10388,4,4e-05
110644,4,4e-05
110326,4,4e-05
220340,4,4e-05
130902,4,4e-05
300927,4,4e-05
311069,4,4e-05
210295,4,4e-05
220764,4,4e-05
40625,4,4e-05
90733,4,4e-05
241279,4,4e-05
30251,4,4e-05
290543,4,4e-05
201259,4,4e-05
131004,4,4e-05
251101,4,4e-05
20148,4,4e-05
60625,4,4e-05
280787,4,4e-05
281057,4,4e-05
311101,4,4e-05
120986,4,4e-05
140771,4,4e-05
261072,4,4e-05
240795,4,4e-05
211051,4,4e-05
220897,4,4e-05
160915,4,4e-05
230731,4,4e-05
211034,4,4e-05
100289,4,4e-05
310476,4,4e-05
130619,4,4e-05
281248,4,4e-05
171278,4,4e-05
250744,4,4e-05
280323,4,4e-05
40915,4,4e-05
210910,4,4e-05
190766,4,4e-05
60669,4,4e-05
150922,4,4e-05
30556,4,4e-05
61297,4,4e-05
30484,4,4e-05
250314,4,4e-05
71297,4,4e-05
90464,4,4e-05
111228,4,4e-05
210766,4,4e-05
41079,4,4e-05
270435,4,4e-05
211184,4,4e-05
30600,4,4e-05
161102,4,4e-05
240347,4,4e-05
180172,4,4e-05
310482,4,4e-05
210317,4,4e-05
191181,4,4e-05
170454,4,4e-05
130521,4,4e-05
91179,4,4e-05
140455,4,4e-05
181153,4,4e-05
30650,4,4e-05
110991,4,4e-05
161033,4,4e-05
