PIN,Count,Probability
888888,5246,0.05246
000000,5088,0.05088
999999,5010,0.0501
543210,3812,0.03812
123456,3717,0.03717
654321,3703,0.03703
012345,3689,0.03689
222222,3086,0.03086
666666,3054,0.03054
111111,3051,0.03051
777777,3039,0.03039
444444,3035,0.03035
555555,2973,0.02973
333333,2945,0.02945
696969,2204,0.02204
121212,2192,0.02192
030598,2112,0.02112
202020,2106,0.02106
031998,2055,0.02055
039805,2050,0.0205
980503,2035,0.02035
980305,2006,0.02006
051998,1999,0.01999
050398,1997,0.01997
199803,1987,0.01987
199805,1976,0.01976
059803,1949,0.01949
478202,3,3e-05
008447,2,2e-05
009570,2,2e-05
009931,2,2e-05
013995,2,2e-05
022532,2,2e-05
023881,2,2e-05
033581,2,2e-05
035758,2,2e-05
036902,2,2e-05
037322,2,2e-05
040048,2,2e-05
041725,2,2e-05
043011,2,2e-05
058759,2,2e-05
065356,2,2e-05
065657,2,2e-05
069928,2,2e-05
083085,2,2e-05
086088,2,2e-05
087030,2,2e-05
091083,2,2e-05
091360,2,2e-05
093806,2,2e-05
095760,2,2e-05
097891,2,2e-05
100494,2,2e-05
102312,2,2e-05
104574,2,2e-05
105311,2,2e-05
118661,2,2e-05
130614,2,2e-05
141437,2,2e-05
148305,2,2e-05
149381,2,2e-05
154472,2,2e-05
156024,2,2e-05
156840,2,2e-05
164491,2,2e-05
167170,2,2e-05
167899,2,2e-05
169241,2,2e-05
169981,2,2e-05
170757,2,2e-05
175297,2,2e-05
176105,2,2e-05
182624,2,2e-05
190706,2,2e-05
199288,2,2e-05
202142,2,2e-05
203440,2,2e-05
210614,2,2e-05
222155,2,2e-05
223462,2,2e-05
256428,2,2e-05
257003,2,2e-05
257313,2,2e-05
258052,2,2e-05
259344,2,2e-05
259511,2,2e-05
262443,2,2e-05
264483,2,2e-05
271127,2,2e-05
273072,2,2e-05
279072,2,2e-05
280924,2,2e-05
283273,2,2e-05
290453,2,2e-05
309314,2,2e-05
313877,2,2e-05
316268,2,2e-05
322878,2,2e-05
337546,2,2e-05
337548,2,2e-05
339457,2,2e-05
345221,2,2e-05
352732,2,2e-05
359450,2,2e-05
364528,2,2e-05
366346,2,2e-05
366440,2,2e-05
377162,2,2e-05
378384,2,2e-05
387272,2,2e-05
388163,2,2e-05
389366,2,2e-05
393876,2,2e-05
395828,2,2e-05
402697,2,2e-05
404175,2,2e-05
404929,2,2e-05
405041,2,2e-05
411131,2,2e-05
414297,2,2e-05
415238,2,2e-05
415603,2,2e-05
420360,2,2e-05
420967,2,2e-05
422960,2,2e-05
423927,2,2e-05
425953,2,2e-05
426856,2,2e-05
430138,2,2e-05
439313,2,2e-05
446314,2,2e-05
448079,2,2e-05
459580,2,2e-05
460526,2,2e-05
462819,2,2e-05
465473,2,2e-05
467360,2,2e-05
477538,2,2e-05
480455,2,2e-05
480614,2,2e-05
499100,2,2e-05
509116,2,2e-05
514397,2,2e-05
515621,2,2e-05
515655,2,2e-05
519305,2,2e-05
523248,2,2e-05
526089,2,2e-05
530301,2,2e-05
533426,2,2e-05
535763,2,2e-05
538035,2,2e-05
538421,2,2e-05
540004,2,2e-05
544830,2,2e-05
545746,2,2e-05
552185,2,2e-05
553123,2,2e-05
554583,2,2e-05
555568,2,2e-05
564747,2,2e-05
569586,2,2e-05
576946,2,2e-05
580796,2,2e-05
585836,2,2e-05
586537,2,2e-05
589648,2,2e-05
591098,2,2e-05
591978,2,2e-05
592960,2,2e-05
594845,2,2e-05
604256,2,2e-05
612021,2,2e-05
612534,2,2e-05
620885,2,2e-05
639270,2,2e-05
639348,2,2e-05
644129,2,2e-05
644678,2,2e-05
649487,2,2e-05
654358,2,2e-05
655977,2,2e-05
658929,2,2e-05
667433,2,2e-05
671712,2,2e-05
671796,2,2e-05
685263,2,2e-05
688975,2,2e-05
691808,2,2e-05
695795,2,2e-05
697086,2,2e-05
700366,2,2e-05
707226,2,2e-05
715706,2,2e-05
718119,2,2e-05
718534,2,2e-05
724221,2,2e-05
731157,2,2e-05
734242,2,2e-05
741990,2,2e-05
749244,2,2e-05
750630,2,2e-05
753379,2,2e-05
754858,2,2e-05
757754,2,2e-05
758864,2,2e-05
759449,2,2e-05
762681,2,2e-05
772939,2,2e-05
778001,2,2e-05
780633,2,2e-05
781280,2,2e-05
788047,2,2e-05
790144,2,2e-05
791728,2,2e-05
797733,2,2e-05
800023,2,2e-05
805407,2,2e-05
805704,2,2e-05
807788,2,2e-05
808085,2,2e-05
809266,2,2e-05
809436,2,2e-05
810143,2,2e-05
810891,2,2e-05
836248,2,2e-05
838587,2,2e-05
840514,2,2e-05
843671,2,2e-05
849767,2,2e-05
852510,2,2e-05
858967,2,2e-05
860463,2,2e-05
860899,2,2e-05
863431,2,2e-05
864226,2,2e-05
881083,2,2e-05
891321,2,2e-05
896921,2,2e-05
912087,2,2e-05
917296,2,2e-05
919327,2,2e-05
920891,2,2e-05
922394,2,2e-05
936905,2,2e-05
948631,2,2e-05
949897,2,2e-05
951529,2,2e-05
971117,2,2e-05
973137,2,2e-05
973961,2,2e-05
987668,2,2e-05
000015,1,1e-05
000068,1,1e-05
000081,1,1e-05
000433,1,1e-05
000480,1,1e-05
000534,1,1e-05
000556,1,1e-05
000604,1,1e-05
000721,1,1e-05
000729,1,1e-05
000756,1,1e-05
000828,1,1e-05
000857,1,1e-05
000872,1,1e-05
000877,1,1e-05
000884,1,1e-05
000895,1,1e-05
000917,1,1e-05
000987,1,1e-05
001016,1,1e-05
001106,1,1e-05
001117,1,1e-05
001197,1,1e-05
001265,1,1e-05
001300,1,1e-05
001318,1,1e-05
001337,1,1e-05
001396,1,1e-05
001424,1,1e-05
001509,1,1e-05
001533,1,1e-05
001544,1,1e-05
001574,1,1e-05
001608,1,1e-05
001647,1,1e-05
001655,1,1e-05
001662,1,1e-05
001772,1,1e-05
001794,1,1e-05
001824,1,1e-05
001874,1,1e-05
001934,1,1e-05
001995,1,1e-05
002019,1,1e-05
002024,1,1e-05
002034,1,1e-05
002038,1,1e-05
002049,1,1e-05
002144,1,1e-05
002203,1,1e-05
002209,1,1e-05
002248,1,1e-05
002263,1,1e-05
002345,1,1e-05
002469,1,1e-05
002591,1,1e-05
002605,1,1e-05
002633,1,1e-05
002649,1,1e-05
002756,1,1e-05
002792,1,1e-05
002920,1,1e-05
003142,1,1e-05
003162,1,1e-05
003197,1,1e-05
003230,1,1e-05
003235,1,1e-05
003242,1,1e-05
003274,1,1e-05
003300,1,1e-05
003315,1,1e-05
003349,1,1e-05
