PIN,Count,Probability
864278,4,4e-05
000708,3,3e-05
004264,3,3e-05
007768,3,3e-05
013228,3,3e-05
016462,3,3e-05
019506,3,3e-05
030401,3,3e-05
057476,3,3e-05
062144,3,3e-05
064153,3,3e-05
078811,3,3e-05
081588,3,3e-05
086345,3,3e-05
094682,3,3e-05
097678,3,3e-05
097773,3,3e-05
102179,3,3e-05
104122,3,3e-05
104574,3,3e-05
108232,3,3e-05
111642,3,3e-05
116890,3,3e-05
118661,3,3e-05
123384,3,3e-05
125805,3,3e-05
125812,3,3e-05
126120,3,3e-05
130889,3,3e-05
138943,3,3e-05
143028,3,3e-05
144121,3,3e-05
149522,3,3e-05
168099,3,3e-05
171993,3,3e-05
190272,3,3e-05
196911,3,3e-05
205813,3,3e-05
212005,3,3e-05
213741,3,3e-05
213795,3,3e-05
216277,3,3e-05
219011,3,3e-05
223701,3,3e-05
235745,3,3e-05
236540,3,3e-05
241292,3,3e-05
252674,3,3e-05
254533,3,3e-05
263592,3,3e-05
279193,3,3e-05
280028,3,3e-05
293768,3,3e-05
304289,3,3e-05
304691,3,3e-05
307189,3,3e-05
309258,3,3e-05
334827,3,3e-05
343609,3,3e-05
359251,3,3e-05
359609,3,3e-05
363179,3,3e-05
377392,3,3e-05
378251,3,3e-05
389511,3,3e-05
406711,3,3e-05
407960,3,3e-05
415035,3,3e-05
420040,3,3e-05
429768,3,3e-05
435214,3,3e-05
451839,3,3e-05
453157,3,3e-05
454949,3,3e-05
458482,3,3e-05
458976,3,3e-05
466794,3,3e-05
470627,3,3e-05
471413,3,3e-05
473213,3,3e-05
478259,3,3e-05
486819,3,3e-05
489966,3,3e-05
497619,3,3e-05
514150,3,3e-05
515326,3,3e-05
519522,3,3e-05
519577,3,3e-05
541866,3,3e-05
541922,3,3e-05
552654,3,3e-05
553984,3,3e-05
554787,3,3e-05
559951,3,3e-05
569113,3,3e-05
569408,3,3e-05
578985,3,3e-05
580290,3,3e-05
585023,3,3e-05
586741,3,3e-05
598782,3,3e-05
599425,3,3e-05
601363,3,3e-05
604223,3,3e-05
615939,3,3e-05
634229,3,3e-05
640026,3,3e-05
641684,3,3e-05
645543,3,3e-05
663646,3,3e-05
671681,3,3e-05
679099,3,3e-05
687036,3,3e-05
694027,3,3e-05
702416,3,3e-05
702629,3,3e-05
704348,3,3e-05
709778,3,3e-05
716430,3,3e-05
718894,3,3e-05
731663,3,3e-05
736342,3,3e-05
774415,3,3e-05
786476,3,3e-05
787116,3,3e-05
787931,3,3e-05
788693,3,3e-05
799749,3,3e-05
804246,3,3e-05
806519,3,3e-05
808828,3,3e-05
821483,3,3e-05
823408,3,3e-05
824566,3,3e-05
825814,3,3e-05
826109,3,3e-05
827843,3,3e-05
830605,3,3e-05
831490,3,3e-05
841814,3,3e-05
852444,3,3e-05
852489,3,3e-05
856795,3,3e-05
857710,3,3e-05
858285,3,3e-05
858914,3,3e-05
881861,3,3e-05
882298,3,3e-05
888528,3,3e-05
891090,3,3e-05
893978,3,3e-05
895289,3,3e-05
900362,3,3e-05
917243,3,3e-05
918398,3,3e-05
919416,3,3e-05
922984,3,3e-05
949403,3,3e-05
953938,3,3e-05
954889,3,3e-05
960331,3,3e-05
973483,3,3e-05
974857,3,3e-05
975074,3,3e-05
983852,3,3e-05
985299,3,3e-05
988536,3,3e-05
000089,2,2e-05
000097,2,2e-05
000258,2,2e-05
000445,2,2e-05
000884,2,2e-05
001016,2,2e-05
001269,2,2e-05
001282,2,2e-05
001429,2,2e-05
001541,2,2e-05
001640,2,2e-05
001698,2,2e-05
002074,2,2e-05
002088,2,2e-05
002235,2,2e-05
003026,2,2e-05
003127,2,2e-05
003775,2,2e-05
004324,2,2e-05
004523,2,2e-05
004750,2,2e-05
004895,2,2e-05
005107,2,2e-05
006416,2,2e-05
006429,2,2e-05
006687,2,2e-05
006829,2,2e-05
006950,2,2e-05
006951,2,2e-05
007054,2,2e-05
007274,2,2e-05
007459,2,2e-05
007493,2,2e-05
007645,2,2e-05
007678,2,2e-05
008105,2,2e-05
008156,2,2e-05
008285,2,2e-05
008739,2,2e-05
008747,2,2e-05
008830,2,2e-05
009389,2,2e-05
009576,2,2e-05
010073,2,2e-05
010195,2,2e-05
011080,2,2e-05
011125,2,2e-05
011190,2,2e-05
011292,2,2e-05
011303,2,2e-05
011648,2,2e-05
011857,2,2e-05
011908,2,2e-05
011991,2,2e-05
012166,2,2e-05
012394,2,2e-05
012608,2,2e-05
012705,2,2e-05
012960,2,2e-05
013597,2,2e-05
013765,2,2e-05
014210,2,2e-05
014272,2,2e-05
014355,2,2e-05
014408,2,2e-05
014449,2,2e-05
014463,2,2e-05
014689,2,2e-05
014760,2,2e-05
014815,2,2e-05
014895,2,2e-05
014901,2,2e-05
015069,2,2e-05
015440,2,2e-05
015457,2,2e-05
015743,2,2e-05
015775,2,2e-05
016217,2,2e-05
016591,2,2e-05
016668,2,2e-05
016730,2,2e-05
016929,2,2e-05
017007,2,2e-05
017031,2,2e-05
017058,2,2e-05
017213,2,2e-05
017367,2,2e-05
017469,2,2e-05
017506,2,2e-05
017785,2,2e-05
017819,2,2e-05
018519,2,2e-05
018785,2,2e-05
018943,2,2e-05
019674,2,2e-05
019776,2,2e-05
019865,2,2e-05
020339,2,2e-05
020636,2,2e-05
020678,2,2e-05
021026,2,2e-05
021084,2,2e-05
021391,2,2e-05
021703,2,2e-05
021722,2,2e-05
022306,2,2e-05
022366,2,2e-05
022484,2,2e-05
022532,2,2e-05
022621,2,2e-05
022733,2,2e-05
022756,2,2e-05
022977,2,2e-05
023205,2,2e-05
023511,2,2e-05
023764,2,2e-05
023839,2,2e-05
024031,2,2e-05
024145,2,2e-05
024437,2,2e-05
024783,2,2e-05
026009,2,2e-05
026148,2,2e-05
026691,2,2e-05
026803,2,2e-05
026817,2,2e-05
027096,2,2e-05
027168,2,2e-05
027626,2,2e-05
028062,2,2e-05
028102,2,2e-05
028206,2,2e-05
028648,2,2e-05
028679,2,2e-05
028832,2,2e-05
029270,2,2e-05
029349,2,2e-05
029628,2,2e-05
029650,2,2e-05
029965,2,2e-05
030610,2,2e-05
030641,2,2e-05
030914,2,2e-05
031350,2,2e-05
031394,2,2e-05
031638,2,2e-05
032108,2,2e-05
032122,2,2e-05
032498,2,2e-05
032591,2,2e-05
032687,2,2e-05
032924,2,2e-05
033099,2,2e-05
033183,2,2e-05
033501,2,2e-05
033542,2,2e-05
034109,2,2e-05
034305,2,2e-05
034580,2,2e-05
035001,2,2e-05
035263,2,2e-05
035395,2,2e-05
035410,2,2e-05
036248,2,2e-05
036829,2,2e-05
037034,2,2e-05
037383,2,2e-05
037609,2,2e-05
037783,2,2e-05
037827,2,2e-05
038100,2,2e-05
038727,2,2e-05
038801,2,2e-05
039086,2,2e-05
039129,2,2e-05
039252,2,2e-05
039463,2,2e-05
040611,2,2e-05
040869,2,2e-05
040983,2,2e-05
041266,2,2e-05
041750,2,2e-05
041844,2,2e-05
042070,2,2e-05
042402,2,2e-05
042923,2,2e-05
042943,2,2e-05
043046,2,2e-05
043141,2,2e-05
043293,2,2e-05
043683,2,2e-05
043691,2,2e-05
044085,2,2e-05
044195,2,2e-05
044748,2,2e-05
044780,2,2e-05
044935,2,2e-05
045099,2,2e-05
045317,2,2e-05
045335,2,2e-05
045495,2,2e-05
045672,2,2e-05
045974,2,2e-05
046266,2,2e-05
046307,2,2e-05
046372,2,2e-05
046688,2,2e-05
046777,2,2e-05
047273,2,2e-05
047457,2,2e-05
047640,2,2e-05
047774,2,2e-05
047844,2,2e-05
047899,2,2e-05
048118,2,2e-05
048205,2,2e-05
048206,2,2e-05
048426,2,2e-05
048465,2,2e-05
048681,2,2e-05
048943,2,2e-05
049278,2,2e-05
049372,2,2e-05
049971,2,2e-05
050051,2,2e-05
050285,2,2e-05
050384,2,2e-05
051081,2,2e-05
051288,2,2e-05
051405,2,2e-05
051553,2,2e-05
051767,2,2e-05
052113,2,2e-05
052294,2,2e-05
052326,2,2e-05
052431,2,2e-05
053035,2,2e-05
053389,2,2e-05
053722,2,2e-05
054040,2,2e-05
054262,2,2e-05
054511,2,2e-05
054662,2,2e-05
054961,2,2e-05
055015,2,2e-05
055040,2,2e-05
055425,2,2e-05
055591,2,2e-05
056068,2,2e-05
056177,2,2e-05
056394,2,2e-05
056405,2,2e-05
056413,2,2e-05
056590,2,2e-05
056768,2,2e-05
057152,2,2e-05
057706,2,2e-05
057738,2,2e-05
058077,2,2e-05
058356,2,2e-05
058770,2,2e-05
058840,2,2e-05
059223,2,2e-05
059364,2,2e-05
059440,2,2e-05
059936,2,2e-05
060377,2,2e-05
060738,2,2e-05
061496,2,2e-05
061733,2,2e-05
062200,2,2e-05
062237,2,2e-05
062621,2,2e-05
062678,2,2e-05
062788,2,2e-05
063399,2,2e-05
063491,2,2e-05
063821,2,2e-05
063918,2,2e-05
064125,2,2e-05
064387,2,2e-05
064700,2,2e-05
064709,2,2e-05
064758,2,2e-05
064870,2,2e-05
065014,2,2e-05
065442,2,2e-05
066165,2,2e-05
066447,2,2e-05
066582,2,2e-05
066613,2,2e-05
066670,2,2e-05
067037,2,2e-05
067187,2,2e-05
067260,2,2e-05
067496,2,2e-05
067603,2,2e-05
067755,2,2e-05
067769,2,2e-05
067798,2,2e-05
067808,2,2e-05
068617,2,2e-05
068824,2,2e-05
068892,2,2e-05
069113,2,2e-05
069163,2,2e-05
069224,2,2e-05
069350,2,2e-05
069429,2,2e-05
069439,2,2e-05
070227,2,2e-05
070583,2,2e-05
070655,2,2e-05
070674,2,2e-05
070835,2,2e-05
070966,2,2e-05
071262,2,2e-05
071263,2,2e-05
071460,2,2e-05
071588,2,2e-05
071609,2,2e-05
071921,2,2e-05
072024,2,2e-05
072048,2,2e-05
072550,2,2e-05
072606,2,2e-05
072827,2,2e-05
072956,2,2e-05
073234,2,2e-05
073332,2,2e-05
073473,2,2e-05
074039,2,2e-05
074299,2,2e-05
074801,2,2e-05
074838,2,2e-05
074854,2,2e-05
075231,2,2e-05
076066,2,2e-05
076222,2,2e-05
076421,2,2e-05
076466,2,2e-05
076529,2,2e-05
076751,2,2e-05
077060,2,2e-05
077423,2,2e-05
077993,2,2e-05
077998,2,2e-05
078152,2,2e-05
078217,2,2e-05
078315,2,2e-05
078530,2,2e-05
078940,2,2e-05
079049,2,2e-05
079184,2,2e-05
079688,2,2e-05
080567,2,2e-05
080951,2,2e-05
081062,2,2e-05
081145,2,2e-05
081242,2,2e-05
081257,2,2e-05
081290,2,2e-05
081566,2,2e-05
081582,2,2e-05
082200,2,2e-05
082349,2,2e-05
082398,2,2e-05
082467,2,2e-05
082735,2,2e-05
082919,2,2e-05
082995,2,2e-05
083306,2,2e-05
083601,2,2e-05
083835,2,2e-05
084148,2,2e-05
084235,2,2e-05
084837,2,2e-05
085000,2,2e-05
085159,2,2e-05
085168,2,2e-05
085390,2,2e-05
085879,2,2e-05
085980,2,2e-05
087143,2,2e-05
087203,2,2e-05
087348,2,2e-05
087649,2,2e-05
087920,2,2e-05
088914,2,2e-05
089170,2,2e-05
089870,2,2e-05
090277,2,2e-05
090745,2,2e-05
090792,2,2e-05
091184,2,2e-05
091360,2,2e-05
091938,2,2e-05
091981,2,2e-05
091991,2,2e-05
092296,2,2e-05
092318,2,2e-05
092665,2,2e-05
092742,2,2e-05
092980,2,2e-05
093351,2,2e-05
093519,2,2e-05
093594,2,2e-05
093624,2,2e-05
093806,2,2e-05
094397,2,2e-05
094432,2,2e-05
094458,2,2e-05
094546,2,2e-05
095446,2,2e-05
096459,2,2e-05
096865,2,2e-05
097102,2,2e-05
097157,2,2e-05
097251,2,2e-05
097429,2,2e-05
097462,2,2e-05
097527,2,2e-05
097716,2,2e-05
097898,2,2e-05
098080,2,2e-05
098351,2,2e-05
098825,2,2e-05
099080,2,2e-05
100195,2,2e-05
100219,2,2e-05
100331,2,2e-05
100550,2,2e-05
100575,2,2e-05
100639,2,2e-05
100780,2,2e-05
100888,2,2e-05
100976,2,2e-05
101191,2,2e-05
101295,2,2e-05
101605,2,2e-05
101807,2,2e-05
103225,2,2e-05
