pin,count,probability
666666,2527,0.02527
000000,2510,0.0251
888888,2507,0.02507
999999,2505,0.02505
111111,1548,0.01548
777777,1536,0.01536
222222,1509,0.01509
444444,1506,0.01506
555555,1481,0.01481
333333,1463,0.01463
765432,1046,0.01046
123456,1038,0.01038
131452,1029,0.01029
654321,1020,0.0102
234567,1016,0.01016
123123,1012,0.01012
876543,1010,0.0101
112233,1010,0.0101
101010,1007,0.01007
987654,1003,0.01003
456789,997,0.00997
121212,989,0.00989
345678,975,0.00975
012345,965,0.00965
520520,955,0.00955
543210,954,0.00954
001973,89,0.00089
002002,84,0.00084
196700,81,0.00081
197100,80,0.0008
202300,80,0.0008
199900,80,0.0008
002010,79,0.00079
201600,79,0.00079
001952,79,0.00079
001962,79,0.00079
001965,78,0.00078
198700,77,0.00077
001988,76,0.00076
001966,75,0.00075
001963,75,0.00075
002005,75,0.00075
001970,75,0.00075
001986,74,0.00074
195000,74,0.00074
196900,74,0.00074
001956,73,0.00073
002022,73,0.00073
197200,73,0.00073
001971,73,0.00073
198100,72,0.00072
001958,72,0.00072
001997,72,0.00072
201300,72,0.00072
001981,72,0.00072
200000,72,0.00072
196800,72,0.00072
201800,71,0.00071
202000,71,0.00071
201900,71,0.00071
202400,71,0.00071
001978,70,0.0007
001967,70,0.0007
002025,70,0.0007
001993,69,0.00069
002020,69,0.00069
199300,69,0.00069
196000,69,0.00069
002023,69,0.00069
198500,69,0.00069
199500,69,0.00069
002013,69,0.00069
001960,68,0.00068
001985,68,0.00068
001998,68,0.00068
195800,68,0.00068
001951,68,0.00068
195500,68,0.00068
201400,68,0.00068
199600,68,0.00068
199200,68,0.00068
197400,67,0.00067
002008,67,0.00067
002014,67,0.00067
196100,67,0.00067
001959,67,0.00067
199700,67,0.00067
198400,67,0.00067
200600,67,0.00067
200700,67,0.00067
001996,67,0.00067
002001,66,0.00066
198300,66,0.00066
002000,66,0.00066
002011,66,0.00066
202200,66,0.00066
198800,66,0.00066
202500,66,0.00066
197600,66,0.00066
001968,66,0.00066
200200,66,0.00066
001987,66,0.00066
001972,65,0.00065
002012,65,0.00065
001976,65,0.00065
002007,65,0.00065
195100,65,0.00065
201700,65,0.00065
001995,65,0.00065
199400,65,0.00065
199100,65,0.00065
001984,64,0.00064
201100,64,0.00064
002004,64,0.00064
002021,64,0.00064
201500,64,0.00064
001982,64,0.00064
197700,63,0.00063
200800,63,0.00063
201000,63,0.00063
001999,63,0.00063
